Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
7/18/18,11.61,-0.1,-0.853970965,11.78,0.07,0.597779675,11.98,0.27,2.305721605,11.39,-0.32,-2.732707088
7/17/18,11.71,-0.75,-6.019261637,12.84,0.38,3.04975923,12.88,0.42,3.370786517,11.57,-0.89,-7.142857143
7/16/18,12.46,0.37,3.06038048,12.24,0.15,1.240694789,12.6,0.51,4.218362283,12.16,0.07,0.578990902
7/13/18,12.09,-0.34,-2.73531778,12.43,0,0,12.73,0.3,2.413515688,12.07,-0.36,-2.896218825
7/12/18,12.43,-0.96,-7.1695295,12.73,-0.66,-4.929051531,13.07,-0.32,-2.389843167,12.34,-1.05,-7.84167289
7/11/18,13.39,0.86,6.863527534,13.56,1.03,8.220271349,13.69,1.16,9.257781325,13.08,0.55,4.389465283
7/10/18,12.53,-0.04,-0.318217979,12.27,-0.3,-2.386634845,13.01,0.44,3.500397772,12.27,-0.3,-2.386634845
7/9/18,12.57,-0.87,-6.473214286,13.13,-0.31,-2.306547619,13.17,-0.27,-2.008928571,12.55,-0.89,-6.62202381
7/6/18,13.44,-1.44,-9.677419355,14.66,-0.22,-1.478494624,14.84,-0.04,-0.268817204,13.42,-1.46,-9.811827957
7/5/18,14.88,-1.04,-6.532663317,14.98,-0.94,-5.904522613,15.96,0.04,0.251256281,14.88,-1.04,-6.532663317
7/3/18,15.92,0.51,3.30953926,14.83,-0.58,-3.763789747,16.09,0.68,4.412719014,14.69,-0.72,-4.67229072
7/2/18,15.41,-0.34,-2.158730159,17.45,1.7,10.79365079,17.67,1.92,12.19047619,15.4,-0.35,-2.222222222
6/29/18,15.75,-0.82,-4.948702474,15.55,-1.02,-6.155703078,15.85,-0.72,-4.345202173,14.53,-2.04,-12.31140616
6/28/18,16.57,-1.04,-5.905735378,17.74,0.13,0.738216922,18.6,0.99,5.621805792,16.16,-1.45,-8.233957978
6/27/18,17.61,1.96,12.52396166,15.42,-0.23,-1.469648562,17.91,2.26,14.44089457,14.69,-0.96,-6.134185304
6/26/18,15.65,-1.52,-8.852649971,16.35,-0.82,-4.775771695,16.86,-0.31,-1.805474665,15.03,-2.14,-12.4635993
6/25/18,17.17,3.66,27.09104367,14.84,1.33,9.844559585,19.25,5.74,42.48704663,14.84,1.33,9.844559585
6/22/18,13.51,-0.84,-5.853658537,12.93,-1.42,-9.895470383,13.76,-0.59,-4.111498258,12.92,-1.43,-9.965156794
6/21/18,14.35,1.92,15.4465004,12.77,0.34,2.73531778,14.83,2.4,19.3081255,12.77,0.34,2.73531778
6/20/18,12.43,-0.62,-4.750957854,11.91,-1.14,-8.735632184,12.55,-0.5,-3.831417625,11.91,-1.14,-8.735632184
6/19/18,13.05,1.08,9.022556391,14.01,2.04,17.04260652,14.1,2.13,17.79448622,12.93,0.96,8.020050125
6/18/18,11.97,0.52,4.541484716,12.95,1.5,13.10043668,13.27,1.82,15.89519651,11.95,0.5,4.366812227
6/15/18,11.45,-0.13,-1.122625216,11.99,0.41,3.540587219,12.53,0.95,8.203799655,11.44,-0.14,-1.208981002
6/14/18,11.58,-1.36,-10.51004637,11.53,-1.41,-10.89644513,12.03,-0.91,-7.032457496,11.44,-1.5,-11.59196291
6/13/18,12.94,0.49,3.935742972,12.27,-0.18,-1.445783133,12.94,0.49,3.935742972,12.23,-0.22,-1.767068273
6/12/18,12.45,-0.23,-1.813880126,12.49,-0.19,-1.498422713,12.65,-0.03,-0.23659306,12.24,-0.44,-3.470031546
6/11/18,12.68,0.03,0.23715415,12.84,0.19,1.501976285,12.88,0.23,1.818181818,12.49,-0.16,-1.264822134
6/8/18,12.65,0,0,13.24,0.59,4.664031621,13.37,0.72,5.691699605,12.59,-0.06,-0.4743083
6/7/18,12.65,0.28,2.263540825,12.26,-0.11,-0.889248181,13.55,1.18,9.539207761,12.26,-0.11,-0.889248181
6/6/18,12.37,-0.65,-4.992319508,12.75,-0.27,-2.073732719,13.05,0.03,0.230414747,12.36,-0.66,-5.069124424
6/5/18,13.02,-0.23,-1.735849057,13.13,-0.12,-0.905660377,13.66,0.41,3.094339623,12.98,-0.27,-2.037735849
6/4/18,13.25,-0.35,-2.573529412,13.79,0.19,1.397058824,13.81,0.21,1.544117647,13.22,-0.38,-2.794117647
6/1/18,13.6,-1.58,-10.40843215,13.89,-1.29,-8.498023715,13.93,-1.25,-8.234519104,13.48,-1.7,-11.19894598
5/31/18,15.18,0.43,2.915254237,15.04,0.29,1.966101695,15.77,1.02,6.915254237,14.62,-0.13,-0.881355932
5/30/18,14.75,-2.23,-13.13309776,15.9,-1.08,-6.360424028,15.96,-1.02,-6.007067138,14.66,-2.32,-13.6631331
5/29/18,16.98,3.71,27.95779955,15.42,2.15,16.20195931,18.38,5.11,38.50791258,14.74,1.47,11.07761869
5/25/18,13.27,0.47,3.671875,13.41,0.61,4.765625,13.58,0.78,6.09375,13.05,0.25,1.953125
5/24/18,12.8,-0.09,-0.698215671,13.08,0.19,1.474010861,14.25,1.36,10.55081458,12.8,-0.09,-0.698215671
5/23/18,12.89,-0.58,-4.305864885,14.4,0.93,6.904231626,14.57,1.1,8.166295471,12.88,-0.59,-4.380103935
5/22/18,13.47,0.09,0.67264574,13.06,-0.32,-2.391629297,13.6,0.22,1.644245142,13.05,-0.33,-2.466367713
5/21/18,13.38,-0.32,-2.335766423,13.16,-0.54,-3.941605839,13.73,0.03,0.218978102,13.03,-0.67,-4.890510949
5/18/18,13.7,-0.02,-0.145772595,13.88,0.16,1.166180758,14.13,0.41,2.988338192,13.49,-0.23,-1.67638484
5/17/18,13.72,-0.05,-0.363108206,13.86,0.09,0.653594771,14.14,0.37,2.687000726,13.18,-0.59,-4.284676834
5/16/18,13.77,-1.19,-7.954545455,14.44,-0.52,-3.475935829,14.47,-0.49,-3.27540107,13.69,-1.27,-8.489304813
5/15/18,14.96,1.52,11.30952381,14.13,0.69,5.133928571,15.33,1.89,14.0625,14.13,0.69,5.133928571
5/14/18,13.44,0.08,0.598802395,13.58,0.22,1.646706587,13.7,0.34,2.54491018,13.36,0,0
5/11/18,13.36,-0.58,-4.160688666,14,0.06,0.430416069,14.04,0.1,0.717360115,13.36,-0.58,-4.160688666
5/10/18,13.94,-0.37,-2.585604472,14.25,-0.06,-0.419287212,14.31,0,0,13.74,-0.57,-3.983228512
5/9/18,14.31,-1.18,-7.617817947,15.14,-0.35,-2.259522272,15.36,-0.13,-0.83925113,14.29,-1.2,-7.746933505
5/8/18,15.49,-0.06,-0.38585209,15.65,0.1,0.643086817,16.23,0.68,4.372990354,15.46,-0.09,-0.578778135
5/7/18,15.55,-0.01,-0.064267352,16.06,0.5,3.213367609,16.1,0.54,3.470437018,15.33,-0.23,-1.4781491
5/4/18,15.56,-0.95,-5.754088431,17.16,0.65,3.937007874,17.39,0.88,5.330102968,15.51,-1,-6.056935191
5/3/18,16.51,-0.08,-0.482218204,16.76,0.17,1.024713683,19.21,2.62,15.79264617,16.51,-0.08,-0.482218204
5/2/18,16.59,0.5,3.107520199,15.93,-0.16,-0.994406464,16.59,0.5,3.107520199,15.47,-0.62,-3.853325047
5/1/18,16.09,-0.27,-1.650366748,16.52,0.16,0.97799511,17.21,0.85,5.195599022,16.04,-0.32,-1.95599022
4/30/18,16.36,0.71,4.536741214,15.99,0.34,2.172523962,16.7,1.05,6.709265176,15.59,-0.06,-0.383386581
4/27/18,15.65,-0.66,-4.04659718,16.1,-0.21,-1.287553648,16.87,0.56,3.433476395,15.65,-0.66,-4.04659718
