Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
7/18/18,12.1,0.04,0.331674959,11.87,-0.19,-1.575456053,12.47,0.41,3.399668325,11.44,-0.62,-5.140961857
7/17/18,12.06,-0.77,-6.001558846,12.91,0.08,0.623538581,13.18,0.35,2.727981294,11.85,-0.98,-7.638347623
7/16/18,12.83,0.65,5.336617406,12.46,0.28,2.298850575,12.97,0.79,6.486042693,12.13,-0.05,-0.410509031
7/13/18,12.18,-0.4,-3.179650238,12.39,-0.19,-1.510333863,12.97,0.39,3.100158983,11.62,-0.96,-7.631160572
7/12/18,12.58,-1.05,-7.703595011,13.07,-0.56,-4.108584006,13.33,-0.3,-2.201027146,12.42,-1.21,-8.877476156
7/11/18,13.63,0.99,7.832278481,14.05,1.41,11.15506329,14.15,1.51,11.94620253,13.09,0.45,3.560126582
7/10/18,12.64,-0.05,-0.394011032,12.52,-0.17,-1.33963751,13.21,0.52,4.097714736,11.93,-0.76,-5.988967691
7/9/18,12.69,-0.68,-5.086013463,13.42,0.05,0.373971578,13.45,0.08,0.598354525,12.6,-0.77,-5.759162304
7/6/18,13.37,-1.6,-10.68804275,14.99,0.02,0.133600534,15.45,0.48,3.206412826,13.34,-1.63,-10.88844355
7/5/18,14.97,-1.17,-7.249070632,15.62,-0.52,-3.22180917,16.22,0.08,0.495662949,14.47,-1.67,-10.34696406
7/3/18,16.14,0.54,3.461538462,15.37,-0.23,-1.474358974,16.45,0.85,5.448717949,14.68,-0.92,-5.897435897
7/2/18,15.6,-0.49,-3.045369795,17.7,1.61,10.00621504,18.08,1.99,12.36793039,15.54,-0.55,-3.418272219
6/29/18,16.09,-0.76,-4.510385757,15.73,-1.12,-6.646884273,16.51,-0.34,-2.017804154,14.66,-2.19,-12.99703264
6/28/18,16.85,-1.06,-5.918481295,17.54,-0.37,-2.06588498,18.99,1.08,6.030150754,16.4,-1.51,-8.431044109
6/27/18,17.91,1.99,12.5,16.52,0.6,3.768844221,18.19,2.27,14.25879397,14.76,-1.16,-7.286432161
6/26/18,15.92,-1.41,-8.136180035,16.71,-0.62,-3.577611079,17.54,0.21,1.211771495,15.1,-2.23,-12.8678592
6/25/18,17.33,3.56,25.85330428,15.07,1.3,9.440813362,19.61,5.84,42.41103849,14.56,0.79,5.737109659
6/22/18,13.77,-0.87,-5.942622951,14.6,-0.04,-0.273224044,14.6,-0.04,-0.273224044,13.11,-1.53,-10.45081967
6/21/18,14.64,1.85,14.46442533,12.54,-0.25,-1.954652072,15.18,2.39,18.68647381,12.18,-0.61,-4.769351056
6/20/18,12.79,-0.56,-4.194756554,12.9,-0.45,-3.370786517,13.02,-0.33,-2.471910112,12.25,-1.1,-8.239700375
6/19/18,13.35,1.04,8.448415922,14.61,2.3,18.68399675,14.68,2.37,19.25264013,13.21,0.9,7.311129163
6/18/18,12.31,0.33,2.754590985,12.79,0.81,6.761268781,13.74,1.76,14.69115192,12.28,0.3,2.504173623
6/15/18,11.98,-0.14,-1.155115512,12.19,0.07,0.577557756,13.16,1.04,8.580858086,11.93,-0.19,-1.567656766
6/14/18,12.12,-0.82,-6.336939722,12.98,0.04,0.309119011,13.07,0.13,1.004636785,11.88,-1.06,-8.191653787
6/13/18,12.94,0.6,4.862236629,12.13,-0.21,-1.70178282,12.95,0.61,4.943273906,11.98,-0.36,-2.917341977
6/12/18,12.34,-0.01,-0.08097166,12.29,-0.06,-0.48582996,12.6,0.25,2.024291498,11.88,-0.47,-3.805668016
6/11/18,12.35,0.17,1.395730706,12.52,0.34,2.791461412,12.69,0.51,4.187192118,12.14,-0.04,-0.328407225
6/8/18,12.18,0.05,0.412201154,12.54,0.41,3.380049464,13.31,1.18,9.727947238,12.09,-0.04,-0.329760923
6/7/18,12.13,0.49,4.209621993,11.66,0.02,0.171821306,13.28,1.64,14.08934708,11.22,-0.42,-3.608247423
6/6/18,11.64,-0.76,-6.129032258,12.1,-0.3,-2.419354839,12.56,0.16,1.290322581,11.62,-0.78,-6.290322581
6/5/18,12.4,-0.34,-2.668759812,12.91,0.17,1.334379906,13.34,0.6,4.709576138,12.3,-0.44,-3.453689168
6/4/18,12.74,-0.72,-5.349182764,13.91,0.45,3.343239227,13.91,0.45,3.343239227,12.69,-0.77,-5.720653789
6/1/18,13.46,-1.97,-12.76733636,14.92,-0.51,-3.305249514,14.93,-0.5,-3.2404407,13.37,-2.06,-13.35061568
5/31/18,15.43,0.49,3.27978581,14.93,-0.01,-0.066934404,16.29,1.35,9.036144578,14.2,-0.74,-4.953145917
5/30/18,14.94,-2.08,-12.22091657,16.6,-0.42,-2.467685076,16.64,-0.38,-2.23266745,14.65,-2.37,-13.92479436
5/29/18,17.02,3.8,28.74432678,14.39,1.17,8.850226929,18.78,5.56,42.05748865,14.39,1.17,8.850226929
5/25/18,13.22,0.69,5.506783719,12.44,-0.09,-0.718276137,13.52,0.99,7.90103751,12.29,-0.24,-1.915403033
5/24/18,12.53,-0.05,-0.39745628,12.73,0.15,1.192368839,14.24,1.66,13.19554849,12.53,-0.05,-0.39745628
5/23/18,12.58,-0.64,-4.841149773,13.5,0.28,2.118003026,14.6,1.38,10.4387292,12.49,-0.73,-5.52193646
5/22/18,13.22,0.14,1.070336391,13.03,-0.05,-0.382262997,13.42,0.34,2.599388379,12.77,-0.31,-2.370030581
5/21/18,13.08,-0.34,-2.533532042,13.44,0.02,0.149031297,13.59,0.17,1.266766021,12.78,-0.64,-4.76900149
5/18/18,13.42,-0.01,-0.074460164,13.18,-0.25,-1.861504095,13.87,0.44,3.276247208,13.06,-0.37,-2.755026061
5/17/18,13.43,0.01,0.074515648,13.54,0.12,0.894187779,13.86,0.44,3.278688525,12.65,-0.77,-5.737704918
5/16/18,13.42,-1.21,-8.270676692,14.38,-0.25,-1.708817498,14.91,0.28,1.913875598,13.21,-1.42,-9.70608339
5/15/18,14.63,1.7,13.14771848,13.13,0.2,1.54679041,15.01,2.08,16.08662026,12.5,-0.43,-3.325599381
5/14/18,12.93,0.28,2.213438735,12.95,0.3,2.371541502,13.28,0.63,4.980237154,12.81,0.16,1.264822134
5/11/18,12.65,-0.58,-4.383975813,13.22,-0.01,-0.07558579,13.44,0.21,1.587301587,12.65,-0.58,-4.383975813
5/10/18,13.23,-0.19,-1.415797317,13.36,-0.06,-0.44709389,13.63,0.21,1.564828614,12.92,-0.5,-3.725782414
5/9/18,13.42,-1.29,-8.769544528,14.54,-0.17,-1.155676411,14.63,-0.08,-0.543847723,13.38,-1.33,-9.041468389
5/8/18,14.71,-0.04,-0.271186441,14.53,-0.22,-1.491525424,15.56,0.81,5.491525424,14.52,-0.23,-1.559322034
5/7/18,14.75,-0.02,-0.135409614,15.32,0.55,3.723764387,15.52,0.75,5.077860528,14.51,-0.26,-1.760324983
5/4/18,14.77,-1.13,-7.106918239,15.94,0.04,0.251572327,16.92,1.02,6.41509434,10.91,-4.99,-31.3836478
