,avg_diff,median_diff
0,"[nan, nan, nan, nan, nan, nan, nan, nan, -0.315, -0.29, -0.224, -0.219, -0.217, -0.217, -0.212, -0.205, -0.202, -0.201, -0.199, -0.196, -0.194, -0.192, -0.189, -0.188, -0.19, -0.19, -0.189, -0.189, -0.185, -0.185, -0.186, -0.186, -0.187, -0.187, -0.188, -0.188, -0.19, -0.19, -0.19, -0.19, -0.191, -0.19, -0.19, -0.19, -0.191, -0.191, -0.191, -0.191, -0.192, -0.192, -0.192, -0.192, -0.192, -0.191, -0.191, -0.19, -0.191, -0.19, -0.189, -0.189, -0.189, -0.19, -0.19, -0.19, -0.19, -0.189, -0.19, -0.19]","[nan, nan, nan, nan, nan, nan, nan, nan, -0.3, -0.26, -0.19, -0.18, -0.185, -0.18, -0.17, -0.17, -0.16, -0.16, -0.16, -0.15, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.165, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17]"
1,"[nan, nan, nan, nan, nan, nan, nan, -0.315, -0.29, -0.224, -0.219, -0.217, -0.217, -0.212, -0.205, -0.202, -0.201, -0.199, -0.196, -0.194, -0.192, -0.189, -0.188, -0.19, -0.19, -0.189, -0.189, -0.185, -0.185, -0.186, -0.186, -0.187, -0.187, -0.188, -0.188, -0.19, -0.19, -0.19, -0.19, -0.191, -0.19, -0.19, -0.19, -0.191, -0.191, -0.191, -0.191, -0.192, -0.192, -0.192, -0.192, -0.192, -0.191, -0.191, -0.19, -0.191, -0.19, -0.189, -0.189, -0.189, -0.19, -0.19, -0.19, -0.19, -0.189, -0.19, -0.19]","[nan, nan, nan, nan, nan, nan, nan, -0.3, -0.26, -0.19, -0.18, -0.185, -0.18, -0.17, -0.17, -0.16, -0.16, -0.16, -0.15, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.165, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17]"
2,"[nan, nan, nan, nan, nan, nan, -0.315, -0.29, -0.224, -0.219, -0.217, -0.217, -0.212, -0.205, -0.202, -0.201, -0.199, -0.196, -0.194, -0.192, -0.189, -0.188, -0.19, -0.19, -0.189, -0.189, -0.185, -0.185, -0.186, -0.186, -0.187, -0.187, -0.188, -0.188, -0.19, -0.19, -0.19, -0.19, -0.191, -0.19, -0.19, -0.19, -0.191, -0.191, -0.191, -0.191, -0.192, -0.192, -0.192, -0.192, -0.192, -0.191, -0.191, -0.19, -0.191, -0.19, -0.189, -0.189, -0.189, -0.19, -0.19, -0.19, -0.19, -0.189, -0.19, -0.19]","[nan, nan, nan, nan, nan, nan, -0.3, -0.26, -0.19, -0.18, -0.185, -0.18, -0.17, -0.17, -0.16, -0.16, -0.16, -0.15, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.165, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17]"
3,"[nan, nan, nan, nan, nan, -0.315, -0.29, -0.224, -0.219, -0.217, -0.217, -0.212, -0.205, -0.202, -0.201, -0.199, -0.196, -0.194, -0.192, -0.189, -0.188, -0.19, -0.19, -0.189, -0.189, -0.185, -0.185, -0.186, -0.186, -0.187, -0.187, -0.188, -0.188, -0.19, -0.19, -0.19, -0.19, -0.191, -0.19, -0.19, -0.19, -0.191, -0.191, -0.191, -0.191, -0.192, -0.192, -0.192, -0.192, -0.192, -0.191, -0.191, -0.19, -0.191, -0.19, -0.189, -0.189, -0.189, -0.19, -0.19, -0.19, -0.19, -0.189, -0.19, -0.19]","[nan, nan, nan, nan, nan, -0.3, -0.26, -0.19, -0.18, -0.185, -0.18, -0.17, -0.17, -0.16, -0.16, -0.16, -0.15, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.165, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17]"
4,"[nan, nan, nan, nan, -0.315, -0.29, -0.224, -0.219, -0.217, -0.217, -0.212, -0.205, -0.202, -0.201, -0.199, -0.196, -0.194, -0.192, -0.189, -0.188, -0.19, -0.19, -0.189, -0.189, -0.185, -0.185, -0.186, -0.186, -0.187, -0.187, -0.188, -0.188, -0.19, -0.19, -0.19, -0.19, -0.191, -0.19, -0.19, -0.19, -0.191, -0.191, -0.191, -0.191, -0.192, -0.192, -0.192, -0.192, -0.192, -0.191, -0.191, -0.19, -0.191, -0.19, -0.189, -0.189, -0.189, -0.19, -0.19, -0.19, -0.19, -0.189, -0.19, -0.19]","[nan, nan, nan, nan, -0.3, -0.26, -0.19, -0.18, -0.185, -0.18, -0.17, -0.17, -0.16, -0.16, -0.16, -0.15, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.165, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17]"
5,"[nan, nan, nan, -0.315, -0.29, -0.224, -0.219, -0.217, -0.217, -0.212, -0.205, -0.202, -0.201, -0.199, -0.196, -0.194, -0.192, -0.189, -0.188, -0.19, -0.19, -0.189, -0.189, -0.185, -0.185, -0.186, -0.186, -0.187, -0.187, -0.188, -0.188, -0.19, -0.19, -0.19, -0.19, -0.191, -0.19, -0.19, -0.19, -0.191, -0.191, -0.191, -0.191, -0.192, -0.192, -0.192, -0.192, -0.192, -0.191, -0.191, -0.19, -0.191, -0.19, -0.189, -0.189, -0.189, -0.19, -0.19, -0.19, -0.19, -0.189, -0.19, -0.19]","[nan, nan, nan, -0.3, -0.26, -0.19, -0.18, -0.185, -0.18, -0.17, -0.17, -0.16, -0.16, -0.16, -0.15, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.165, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17]"
6,"[nan, nan, -0.315, -0.29, -0.224, -0.219, -0.217, -0.217, -0.212, -0.205, -0.202, -0.201, -0.199, -0.196, -0.194, -0.192, -0.189, -0.188, -0.19, -0.19, -0.189, -0.189, -0.185, -0.185, -0.186, -0.186, -0.187, -0.187, -0.188, -0.188, -0.19, -0.19, -0.19, -0.19, -0.191, -0.19, -0.19, -0.19, -0.191, -0.191, -0.191, -0.191, -0.192, -0.192, -0.192, -0.192, -0.192, -0.191, -0.191, -0.19, -0.191, -0.19, -0.189, -0.189, -0.189, -0.19, -0.19, -0.19, -0.19, -0.189, -0.19, -0.19]","[nan, nan, -0.3, -0.26, -0.19, -0.18, -0.185, -0.18, -0.17, -0.17, -0.16, -0.16, -0.16, -0.15, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.165, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17]"
7,"[nan, -0.315, -0.29, -0.224, -0.219, -0.217, -0.217, -0.212, -0.205, -0.202, -0.201, -0.199, -0.196, -0.194, -0.192, -0.189, -0.188, -0.19, -0.19, -0.189, -0.189, -0.185, -0.185, -0.186, -0.186, -0.187, -0.187, -0.188, -0.188, -0.19, -0.19, -0.19, -0.19, -0.191, -0.19, -0.19, -0.19, -0.191, -0.191, -0.191, -0.191, -0.192, -0.192, -0.192, -0.192, -0.192, -0.191, -0.191, -0.19, -0.191, -0.19, -0.189, -0.189, -0.189, -0.19, -0.19, -0.19, -0.19, -0.189, -0.19, -0.19]","[nan, -0.3, -0.26, -0.19, -0.18, -0.185, -0.18, -0.17, -0.17, -0.16, -0.16, -0.16, -0.15, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.165, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17]"
8,"[nan, -0.281, -0.212, -0.212, -0.212, -0.213, -0.209, -0.201, -0.198, -0.198, -0.196, -0.193, -0.191, -0.189, -0.186, -0.186, -0.187, -0.187, -0.186, -0.186, -0.183, -0.183, -0.183, -0.184, -0.185, -0.185, -0.185, -0.186, -0.187, -0.188, -0.187, -0.188, -0.188, -0.188, -0.188, -0.188, -0.188, -0.189, -0.189, -0.189, -0.189, -0.19, -0.19, -0.19, -0.189, -0.189, -0.188, -0.188, -0.188, -0.188, -0.187, -0.187, -0.187, -0.187, -0.187, -0.188, -0.188, -0.187, -0.187, -0.187]","[nan, -0.26, -0.18, -0.18, -0.18, -0.17, -0.17, -0.16, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.165, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16]"
9,"[-0.2, -0.173, -0.195, -0.201, -0.204, -0.2, -0.193, -0.191, -0.191, -0.189, -0.186, -0.185, -0.183, -0.179, -0.179, -0.182, -0.182, -0.18, -0.18, -0.177, -0.177, -0.177, -0.178, -0.179, -0.179, -0.18, -0.18, -0.182, -0.182, -0.182, -0.183, -0.183, -0.183, -0.182, -0.182, -0.183, -0.184, -0.184, -0.184, -0.184, -0.185, -0.185, -0.184, -0.184, -0.184, -0.183, -0.183, -0.183, -0.182, -0.181, -0.182, -0.182, -0.182, -0.182, -0.182, -0.182, -0.182, -0.182, -0.182]","[-0.2, -0.15, -0.15, -0.16, -0.16, -0.16, -0.15, -0.14, -0.14, -0.14, -0.14, -0.145, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16]"
