Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2012-12-31,27.0,27.4,26.9,27.39,4589000.0,0.0,1.0,23.7529860438,24.1048821334,23.6650120214,24.0960847311,4589000.0
2012-12-28,27.35,27.55,27.05,27.06,4319300.0,0.0,1.0,24.0608951222,24.2368431669,23.796973055,23.8057704573,4319300.0
2012-12-27,27.44,27.56,27.26,27.49,5024100.0,0.0,1.0,24.1400717423,24.2456405692,23.981718502,24.1840587535,5024100.0
2012-12-26,27.72,27.79,27.44,27.47,3795700.0,0.0,1.0,24.386399005,24.4479808207,24.1400717423,24.166463949,3795700.0
2012-12-24,27.68,28.02,27.59,27.74,1429000.0,0.0,1.0,24.351209396,24.6503210721,24.2720327759,24.4039938095,1429000.0
2012-12-21,27.84,27.87,27.46,27.78,5884600.0,0.0,1.0,24.4919678319,24.5183600386,24.1576665468,24.4391834184,5884600.0
2012-12-20,28.02,28.04,27.85,28.03,4269800.0,0.0,1.0,24.6503210721,24.6679158766,24.5007652341,24.6591184744,4269800.0
2012-12-19,28.07,28.12,27.835,27.89,5450600.0,0.0,1.0,24.6943080833,24.7382950945,24.4875691307,24.535954843,5450600.0
2012-12-18,27.41,28.1,27.28,28.08,7218000.0,0.0,1.0,24.1136795356,24.7207002901,23.9993133065,24.7031054856,7218000.0
2012-12-17,27.05,27.45,27.05,27.39,4816200.0,0.0,1.0,23.796973055,24.1488691446,23.796973055,24.0960847311,4816200.0
2012-12-14,27.08,27.185,27.02,27.09,5162500.0,0.0,1.0,23.8233652617,23.9157379852,23.7705808483,23.832162664,5162500.0
2012-12-13,27.22,27.36,27.07,27.15,4842000.0,0.0,1.0,23.9465288931,24.0696925244,23.8145678595,23.8849470774,4842000.0
2012-12-12,27.27,27.43,27.16,27.22,4473100.0,0.0,1.0,23.9905159043,24.1312743401,23.8937444796,23.9465288931,4473100.0
2012-12-11,27.0,27.3,26.9,27.17,4253600.0,0.0,1.0,23.7529860438,24.016908111,23.6650120214,23.9025418819,4253600.0
2012-12-10,27.12,27.22,26.9,26.97,3264600.0,0.0,1.0,23.8585548707,23.9465288931,23.6650120214,23.7265938371,3264600.0
2012-12-07,26.81,27.2,26.68,27.18,4585900.0,0.0,1.0,23.5858354013,23.9289340886,23.4714691722,23.9113392841,4585900.0
2012-12-06,26.82,26.83,26.37,26.72,5951500.0,0.0,1.0,23.5946328035,23.6034302058,23.1987497028,23.5066587811,5951500.0
2012-12-05,26.76,27.08,26.68,26.72,4908600.0,0.0,1.0,23.5418483901,23.8233652617,23.4714691722,23.5066587811,4908600.0
2012-12-04,26.76,26.9,26.6201,26.71,4384800.0,0.0,1.0,23.5418483901,23.6650120214,23.4187727328,23.4978613789,4384800.0
2012-12-03,26.78,26.9,26.68,26.79,4177000.0,0.0,1.0,23.5594431946,23.6650120214,23.4714691722,23.5682405968,4177000.0
2012-11-30,26.83,26.89,26.5422,26.7,4457900.0,0.0,1.0,23.6034302058,23.6562146192,23.3502409693,23.4890639767,4457900.0
2012-11-29,26.57,26.79,26.49,26.76,3519500.0,0.0,1.0,23.3746977476,23.5682405968,23.3043185297,23.5418483901,3519500.0
2012-11-28,26.32,26.61,26.21,26.6,4381100.0,0.0,1.0,23.1547626916,23.4098873565,23.057991267,23.4010899543,4381100.0
2012-11-27,26.55,26.89,26.43,26.43,4371400.0,0.0,1.0,23.3571029431,23.6562146192,23.2515341162,23.2515341162,4371400.0
2012-11-26,26.63,26.72,26.49,26.71,3678500.0,0.0,1.0,23.427482161,23.5066587811,23.3043185297,23.4978613789,3678500.0
2012-11-23,26.52,26.74,26.36,26.74,2457400.0,0.0,1.0,23.3307107364,23.5242535856,23.1899523006,23.5242535856,2457400.0
2012-11-21,26.34,26.43,26.105,26.39,3673900.0,0.0,1.0,23.1723574961,23.2515341162,22.9656185435,23.2163445073,3673900.0
2012-11-20,25.79,26.37,25.72,26.34,7988700.0,0.0,1.0,22.688500373,23.1987497028,22.6269185573,23.1723574961,7988700.0
2012-11-19,25.21,25.61,25.05,25.55,7043200.0,0.0,1.0,22.1782510431,22.5301471327,22.0374926073,22.4773627193,7043200.0
2012-11-16,24.61,24.99,24.51,24.96,7027900.0,0.0,1.0,21.6504069088,21.9847081939,21.5624328865,21.9583159872,7027900.0
2012-11-15,24.5,24.74,24.38,24.48,5722700.0,0.0,1.0,21.5536354842,21.7647731379,21.4480666574,21.5360406797,5722700.0
2012-11-14,25.04,25.04,24.49,24.53,6617800.0,0.0,1.0,22.0286952051,22.0286952051,21.544838082,21.5800276909,6617800.0
2012-11-13,25.08,25.29,24.88,24.89,6483900.0,0.175,1.0,22.063884814,22.248630261,21.8879367693,21.8967341715,6483900.0
2012-11-12,25.37,25.47,25.25,25.26,5965900.0,0.0,1.0,22.1631815652,22.2505413664,22.0583498037,22.0670857839,5965900.0
2012-11-09,25.35,25.66,25.28,25.39,9131400.0,0.0,1.0,22.1457096049,22.4165249887,22.0845577441,22.1806535254,9131400.0
2012-11-08,26.04,26.25,25.47,25.47,7041300.0,0.0,1.0,22.7484922332,22.9319478158,22.2505413664,22.2505413664,7041300.0
2012-11-07,26.41,26.46,25.88,26.0,7810900.0,0.0,1.0,23.0717234977,23.1154033983,22.6087165513,22.7135483128,7810900.0
2012-11-06,26.62,26.79,26.48,26.63,7120100.0,0.0,1.0,23.2551790802,23.4036907423,23.1328753585,23.2639150603,7120100.0
2012-11-05,26.78,26.84,26.49,26.6,7927300.0,0.0,1.0,23.3949547621,23.4473706429,23.1416113387,23.23770712,7927300.0
2012-11-02,27.25,27.34,26.8,26.85,4970100.0,0.0,1.0,23.8055458278,23.8841696489,23.4124267224,23.456106623,4970100.0
2012-11-01,26.98,27.28,26.72,27.1,5603300.0,0.0,1.0,23.5696743645,23.8317537682,23.3425388814,23.674506126,5603300.0
2012-10-31,27.24,27.7,26.52,26.84,8203000.0,0.0,1.0,23.7968098477,24.1986649332,23.167819279,23.4473706429,8203000.0
2012-10-26,27.03,27.18,26.9,27.05,5832100.0,0.0,1.0,23.6133542651,23.744393967,23.4997865236,23.6308262254,5832100.0
2012-10-25,27.12,27.23,26.9,26.99,4194200.0,0.0,1.0,23.6919780862,23.7880738676,23.4997865236,23.5784103447,4194200.0
2012-10-24,27.34,27.71,26.9,26.93,4768800.0,0.0,1.0,23.8841696489,24.2074009133,23.4997865236,23.5259944639,4768800.0
2012-10-23,27.74,27.85,27.18,27.29,7036500.0,0.0,1.0,24.2336088537,24.329704635,23.744393967,23.8404897483,7036500.0
2012-10-22,28.35,28.57,27.78,28.04,5375100.0,0.0,1.0,24.766503641,24.9586952037,24.2685527742,24.4956882573,5375100.0
2012-10-19,29.0,29.07,28.37,28.52,7170000.0,0.0,1.0,25.3343423488,25.3954942097,24.7839756013,24.9150153031,7170000.0
2012-10-18,29.03,29.23,28.95,29.07,5604300.0,0.0,1.0,25.3605502892,25.5352698916,25.2906624482,25.3954942097,5604300.0
2012-10-17,28.82,29.14,28.78,29.1,4180100.0,0.0,1.0,25.1770947067,25.4566460705,25.1421507862,25.4217021501,4180100.0
2012-10-16,28.2,28.79,28.18,28.73,4941600.0,0.0,1.0,24.6354639392,25.1508867663,24.617991979,25.0984708856,4941600.0
