  PID   TT  STAT      TIME COMMAND
    1   ??  Ss    16:01.46 /sbin/launchd
   61   ??  Ss     0:14.94 /usr/sbin/syslogd
   62   ??  Ss     0:08.75 /usr/libexec/UserEventAgent (System)
   65   ??  Ss     0:08.10 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
   66   ??  Ss     0:31.74 /usr/libexec/kextd
   67   ??  Ss     3:38.89 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
   69   ??  Ss     0:09.41 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
   72   ??  Ss     0:02.08 /System/Library/CoreServices/appleeventsd --server
   74   ??  Ss     5:57.72 /usr/sbin/systemstats --daemon
   75   ??  Ss     1:28.53 /usr/libexec/configd
   76   ??  Ss     3:18.50 /System/Library/CoreServices/powerd.bundle/powerd
   79   ??  Ss     2:44.65 /usr/libexec/logd
   80   ??  Ss     0:00.02 /usr/libexec/keybagd -t 15
   86   ??  Ss     6:19.22 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   87   ??  Ss     0:00.25 /System/Library/CoreServices/iconservicesd
   88   ??  Ss     0:19.74 /usr/libexec/diskarbitrationd
   91   ??  Ss     0:02.75 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
   92   ??  Ss     0:14.53 /usr/libexec/coreduetd
   95   ??  Ss     3:07.09 /usr/libexec/opendirectoryd
   96   ??  Ss     0:29.69 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
   97   ??  Ss     0:00.63 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
   98   ??  Ss     1:01.52 /System/Library/CoreServices/launchservicesd
   99   ??  Ss     0:05.06 /usr/libexec/timed
  100   ??  Ss     0:41.72 /usr/sbin/securityd -i
  101   ??  Ss     0:04.88 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  103   ??  Ss     3:37.48 /usr/libexec/locationd
  104   ??  Ss     0:00.07 autofsd
  105   ??  Ss     0:02.43 /usr/libexec/displaypolicyd -k 1
  106   ??  Ss     0:45.87 /usr/libexec/dasd
  110   ??  Ss     1:25.27 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  111   ??  Ss     0:00.34 /System/Library/CoreServices/logind
  112   ??  Ss     0:02.07 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  113   ??  Ss     0:00.05 /usr/sbin/KernelEventAgent
  115   ??  Ss    11:30.44 /usr/sbin/bluetoothd
  116   ??  Ss    44:35.08 /usr/libexec/hidd
  118   ??  Ss     1:44.15 /usr/libexec/corebrightnessd --launchd
  119   ??  Ss     0:51.66 /usr/libexec/AirPlayXPCHelper
  120   ??  Ss     1:22.64 /usr/sbin/notifyd
  121   ??  Ss     0:03.29 /usr/sbin/distnoted daemon
  123   ??  Ss     0:30.32 /usr/sbin/cfprefsd daemon
  126   ??  Ss     0:06.36 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  140   ??  Ss     0:27.84 /System/Library/CoreServices/coreservicesd
  171   ??  Ss     0:00.03 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
  181   ??  Ss     0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  182   ??  Ss     0:45.10 /usr/libexec/trustd
  183   ??  Ss     0:00.65 aslmanager
  184   ??  Ss     1:36.70 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  185   ??  Ss     0:01.83 /usr/libexec/nehelper
  186   ??  Ss    12:32.63 /usr/libexec/airportd
  187   ??  Ss     7:21.97 /usr/sbin/coreaudiod
  188   ??  Ss     0:07.61 /usr/libexec/mobileassetd
  189   ??  Ss     0:00.59 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  190   ??  Ss     0:14.56 /usr/libexec/nsurlsessiond --privileged
  192   ??  Ss     1:40.87 /usr/sbin/mDNSResponder
  193   ??  Ss     0:04.40 /usr/libexec/lsd runAsRoot
  194   ??  Ss     1:33.02 /usr/libexec/symptomsd
  195   ??  Ss     0:11.47 /usr/sbin/mDNSResponderHelper
  210   ??  Ss     0:03.05 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  212   ??  Ss     0:00.16 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
  213   ??  Ss     0:00.41 /usr/libexec/apfsd
  214   ??  Ss     0:00.09 /usr/libexec/tzd
  215   ??  Ss     2:12.11 /usr/libexec/usbd
  217   ??  Ss   246:49.93 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  223   ??  Ss     0:02.66 /usr/libexec/watchdogd
