Area,IndCode,Industry,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1
Oregon,3,"Agriculture, forestry, fishing, and hunting",3400,3389,3421,3568,3770,3706,3920,4191,3448,3573,3676,3971,3442,3454,3537,3208,3345,3091,2939,2969,3256,3178,3153,3205,3279,3402,3631,3763,3775,3801,3994,4184,4196,4302,4270,4168,4335,4422,4219,4177,4494,4359,4327,4073,4430,4319,4241,4216,4039,4049,4378,4347,4270
Oregon,6,"Mining, quarrying, and oil and gas extraction",255,269,276,324,300,314,314,347,390,432,405,366,313,332,318,271,286,308,331,325,308,263,232,228,227,257,264,266,239,240,238,227,233,225,228,235,233,236,237,234,209,238,243,245,244,283,302,316,306,309,301,330,333
Oregon,10,Utilities,1579,1724,1809,1619,1716,1735,1938,2347,1729,1786,2013,1798,2409,2133,2031,2076,2222,2185,2207,2200,2719,2529,2434,2323,2656,2901,3086,3305,2988,3615,3636,3697,3494,3595,3446,3522,3287,3164,3199,3392,2941,3133,3164,3033,3284,3294,3376,3333,3481,3419,3541,3641,3679
Oregon,11,Construction,6800,6915,7310,7496,8076,8221,8213,8435,8593,8795,8881,8779,8470,8216,7957,7655,7176,6588,6391,6063,5701,5467,5621,5581,5383,5483,5574,5977,6361,6429,6511,6315,6494,6844,6991,7376,7580,7602,7673,7771,8005,8050,8447,8736,9246,9318,9317,9525,9679,9980,10289,10506,10792
Oregon,13,Durable goods manufacturing,25106,23961,24546,25746,30406,30979,32053,31662,30084,30907,32377,35081,37132,39111,41508,41473,41436,40604,42298,43769,49956,50422,51899,52668,59353,56118,54515,54139,52063,48405,44711,42015,42263,41819,41696,41761,38606,38449,39311,39242,40279,38991,38895,39833,39570,41303,40308,40753,40471,39194,40865,41660,42106
Oregon,25,Nondurable goods manufacturing,4571,4563,4686,4801,4974,5087,5117,4949,4950,5020,4861,4795,4384,4502,4667,4696,5095,5417,5765,5705,5407,5046,4859,5013,4846,5026,5120,5075,4782,4853,4868,4849,5263,5297,5416,5688,5430,5645,5788,5804,6010,6100,6633,6204,6326,6433,6361,6430,6621,6572,6571,6768,6766
Oregon,34,Wholesale trade,9488,9593,9928,9993,10171,10250,10532,10856,11094,11017,11102,10842,11229,11459,11189,10984,10430,10205,10066,10386,10485,10497,10821,10803,10307,10544,11138,11191,11190,11619,11947,11338,10203,10226,10088,10511,10555,10707,10747,10848,11014,11076,11239,11417,11440,11476,11525,11961,12057,12281,12490,12642,12624
Oregon,35,Retail trade,8432,8520,8645,8768,9148,9071,9187,9170,9247,9241,9325,9182,8914,8911,8935,8753,8595,8619,8590,8804,8835,8908,8854,8904,8850,8863,8847,9005,9236,9315,9460,9483,9655,9636,9757,9873,9755,9987,10224,10384,10549,10704,10895,10985,11317,11353,11484,11528,11682,11845,12199,12392,12513
Oregon,36,Transportation and warehousing,4219,4378,4499,4572,4708,4520,4555,4599,4521,4523,4603,4719,4553,4687,4697,4700,4354,4203,4200,4284,4301,4470,4648,4639,4562,4607,4615,4775,4835,4962,4950,4993,5039,5021,5065,5155,5182,5364,5482,5554,5682,5712,5810,5877,6014,6036,6013,6066,6198,6341,6478,6573,6666
Oregon,45,Information,4987,5159,5097,4967,5209,5156,5486,5436,5444,5908,6170,6184,6218,6282,6399,6040,6092,5928,5839,5793,5811,5699,5986,5972,5783,6214,5886,5870,5869,5983,5973,5974,6145,6093,6140,6235,6233,6305,6073,6387,6748,6805,7095,7216,7063,7104,7246,7094,7522,7641,7660,7602,7660
